Cp,Voltage
-925.4174E-12,-200.0000E+0
1.4235E-9,-190.0000E+0
-853.1779E-12,-180.0000E+0
1.3822E-9,-170.0000E+0
-915.5270E-12,-160.0000E+0
1.4057E-9,-150.0000E+0
1.3906E-9,-140.0000E+0
1.4293E-9,-130.0000E+0
1.3805E-9,-120.0000E+0
1.4186E-9,-110.0000E+0
-897.1836E-12,-100.0000E+0
1.4145E-9,-90.0000E+0
-975.0809E-12,-80.0000E+0
1.3951E-9,-70.0000E+0
-927.2684E-12,-60.0000E+0
1.3953E-9,-50.0000E+0
-932.2758E-12,-40.0000E+0
1.2803E-9,-30.0000E+0
1.3177E-9,-20.0000E+0
-948.3888E-12,-10.0000E+0
1.3690E-9,000.0000E+0
-1.0218E-9,10.0000E+0
1.3697E-9,20.0000E+0
1.3438E-9,30.0000E+0
-957.9942E-12,40.0000E+0
1.2801E-9,50.0000E+0
1.3615E-9,60.0000E+0
1.3017E-9,70.0000E+0
-935.8646E-12,80.0000E+0
1.3430E-9,90.0000E+0
1.4306E-9,100.0000E+0
-953.3857E-12,110.0000E+0
1.3681E-9,120.0000E+0
-955.9747E-12,130.0000E+0
1.3322E-9,140.0000E+0
1.4548E-9,150.0000E+0
1.2394E-9,160.0000E+0
-992.9716E-12,170.0000E+0
1.3953E-9,180.0000E+0
-916.9621E-12,190.0000E+0
1.3024E-9,200.0000E+0
