Cp,Voltage
-146.5703E-12,-200.0000E+0
-146.9998E-12,-190.0000E+0
-146.4356E-12,-180.0000E+0
-146.9553E-12,-170.0000E+0
-146.4113E-12,-160.0000E+0
-146.8113E-12,-150.0000E+0
-146.7453E-12,-140.0000E+0
-146.8990E-12,-130.0000E+0
-146.8017E-12,-120.0000E+0
-146.8894E-12,-110.0000E+0
-146.5454E-12,-100.0000E+0
-146.6147E-12,-90.0000E+0
-146.7864E-12,-80.0000E+0
-146.7814E-12,-70.0000E+0
-147.1631E-12,-60.0000E+0
-146.7753E-12,-50.0000E+0
-147.1028E-12,-40.0000E+0
-146.6040E-12,-30.0000E+0
-146.2443E-12,-20.0000E+0
-146.9269E-12,-10.0000E+0
-146.9565E-12,000.0000E+0
-146.8568E-12,10.0000E+0
-146.9499E-12,20.0000E+0
-146.2290E-12,30.0000E+0
-146.8278E-12,40.0000E+0
-146.5679E-12,50.0000E+0
-147.0989E-12,60.0000E+0
-147.0226E-12,70.0000E+0
-147.2391E-12,80.0000E+0
-146.6639E-12,90.0000E+0
-146.5540E-12,100.0000E+0
-146.3899E-12,110.0000E+0
-146.7213E-12,120.0000E+0
-146.4289E-12,130.0000E+0
-146.8528E-12,140.0000E+0
-146.7834E-12,150.0000E+0
-146.5334E-12,160.0000E+0
-147.0455E-12,170.0000E+0
-146.7628E-12,180.0000E+0
-146.4923E-12,190.0000E+0
-146.5176E-12,200.0000E+0
