Cp,Voltage
12.8961E-9,-200.0000E+0
12.8331E-9,-190.0000E+0
12.9067E-9,-180.0000E+0
12.8468E-9,-170.0000E+0
12.9339E-9,-160.0000E+0
12.8384E-9,-150.0000E+0
12.9156E-9,-140.0000E+0
12.8497E-9,-130.0000E+0
12.8924E-9,-120.0000E+0
12.8319E-9,-110.0000E+0
12.9379E-9,-100.0000E+0
12.8719E-9,-90.0000E+0
12.9242E-9,-80.0000E+0
12.8148E-9,-70.0000E+0
12.8790E-9,-60.0000E+0
12.8299E-9,-50.0000E+0
12.8306E-9,-40.0000E+0
12.8790E-9,-30.0000E+0
12.8330E-9,-20.0000E+0
12.9216E-9,-10.0000E+0
12.8593E-9,000.0000E+0
12.8895E-9,10.0000E+0
12.8422E-9,20.0000E+0
12.8477E-9,30.0000E+0
12.8228E-9,40.0000E+0
12.9141E-9,50.0000E+0
12.8327E-9,60.0000E+0
12.9147E-9,70.0000E+0
12.8574E-9,80.0000E+0
12.8130E-9,90.0000E+0
12.8591E-9,100.0000E+0
12.9322E-9,110.0000E+0
12.8615E-9,120.0000E+0
12.8409E-9,130.0000E+0
12.8257E-9,140.0000E+0
12.8726E-9,150.0000E+0
12.8494E-9,160.0000E+0
12.9233E-9,170.0000E+0
12.8529E-9,180.0000E+0
12.9297E-9,190.0000E+0
12.8528E-9,200.0000E+0
