Cp,Voltage
233.4006E-12,-200.0000E+0
-538.0514E-12,-190.0000E+0
289.6582E-12,-180.0000E+0
-593.9072E-12,-170.0000E+0
-585.0136E-12,-160.0000E+0
247.1907E-12,-150.0000E+0
-571.5270E-12,-140.0000E+0
192.9685E-12,-130.0000E+0
-595.5340E-12,-120.0000E+0
224.5626E-12,-110.0000E+0
-576.4931E-12,-100.0000E+0
234.9877E-12,-90.0000E+0
-592.3729E-12,-80.0000E+0
222.8588E-12,-70.0000E+0
-576.5823E-12,-60.0000E+0
250.3539E-12,-50.0000E+0
-540.9527E-12,-40.0000E+0
214.7073E-12,-30.0000E+0
-543.7075E-12,-20.0000E+0
200.9693E-12,-10.0000E+0
-610.8197E-12,000.0000E+0
246.3179E-12,10.0000E+0
-599.7952E-12,20.0000E+0
242.7676E-12,30.0000E+0
-586.3091E-12,40.0000E+0
213.9467E-12,50.0000E+0
-587.7610E-12,60.0000E+0
228.9033E-12,70.0000E+0
-565.4833E-12,80.0000E+0
-589.2501E-12,90.0000E+0
273.6342E-12,100.0000E+0
-611.3411E-12,110.0000E+0
287.2325E-12,120.0000E+0
-534.7877E-12,130.0000E+0
259.8423E-12,140.0000E+0
-579.4834E-12,150.0000E+0
-582.9804E-12,160.0000E+0
-634.1066E-12,170.0000E+0
-614.0127E-12,180.0000E+0
242.1668E-12,190.0000E+0
-568.0457E-12,200.0000E+0
