Cp,Voltage
-312.8746E-12,-200.0000E+0
-315.3093E-12,-190.0000E+0
-310.9245E-12,-180.0000E+0
-311.0628E-12,-170.0000E+0
-327.8757E-12,-160.0000E+0
-304.8621E-12,-150.0000E+0
-325.7317E-12,-140.0000E+0
-322.2281E-12,-130.0000E+0
-322.5199E-12,-120.0000E+0
-330.2231E-12,-110.0000E+0
-297.9507E-12,-100.0000E+0
-308.7823E-12,-90.0000E+0
-308.0334E-12,-80.0000E+0
-305.8176E-12,-70.0000E+0
-333.6949E-12,-60.0000E+0
-308.6146E-12,-50.0000E+0
-315.6794E-12,-40.0000E+0
-337.0137E-12,-30.0000E+0
-375.7839E-12,-20.0000E+0
-338.8302E-12,-10.0000E+0
-355.3075E-12,000.0000E+0
-330.0038E-12,10.0000E+0
-352.8987E-12,20.0000E+0
-342.6793E-12,30.0000E+0
-318.3393E-12,40.0000E+0
-299.3478E-12,50.0000E+0
-318.3394E-12,60.0000E+0
-313.7988E-12,70.0000E+0
-309.6571E-12,80.0000E+0
-294.5751E-12,90.0000E+0
-287.5661E-12,100.0000E+0
-320.7391E-12,110.0000E+0
-325.4565E-12,120.0000E+0
-343.4814E-12,130.0000E+0
-281.7766E-12,140.0000E+0
-323.4492E-12,150.0000E+0
-317.1180E-12,160.0000E+0
-317.2718E-12,170.0000E+0
-323.2423E-12,180.0000E+0
-327.7584E-12,190.0000E+0
-328.3646E-12,200.0000E+0
