Cp,Voltage
-677.7597E-12,-200.0000E+0
-687.7723E-12,-190.0000E+0
-695.3348E-12,-180.0000E+0
-695.5306E-12,-170.0000E+0
-689.1498E-12,-160.0000E+0
-685.1837E-12,-150.0000E+0
-696.7206E-12,-140.0000E+0
-693.0711E-12,-130.0000E+0
-688.7619E-12,-120.0000E+0
-685.8988E-12,-110.0000E+0
-692.1211E-12,-100.0000E+0
-693.8959E-12,-90.0000E+0
-667.7522E-12,-80.0000E+0
-684.6380E-12,-70.0000E+0
-674.5447E-12,-60.0000E+0
-687.9647E-12,-50.0000E+0
-680.8341E-12,-40.0000E+0
-677.0185E-12,-30.0000E+0
-698.1772E-12,-20.0000E+0
-686.8758E-12,-10.0000E+0
-684.5102E-12,000.0000E+0
-687.9529E-12,10.0000E+0
-683.1531E-12,20.0000E+0
-688.5546E-12,30.0000E+0
-693.5976E-12,40.0000E+0
-685.3133E-12,50.0000E+0
-680.2328E-12,60.0000E+0
-683.6739E-12,70.0000E+0
-694.5389E-12,80.0000E+0
-681.6638E-12,90.0000E+0
-703.0822E-12,100.0000E+0
-694.1445E-12,110.0000E+0
-684.3624E-12,120.0000E+0
-687.1851E-12,130.0000E+0
-687.2974E-12,140.0000E+0
-680.5642E-12,150.0000E+0
-684.3372E-12,160.0000E+0
-670.8743E-12,170.0000E+0
-679.8153E-12,180.0000E+0
-692.2472E-12,190.0000E+0
-680.9948E-12,200.0000E+0
