Cp,Voltage
20.1354E-9,-200.0000E+0
20.5191E-9,-190.0000E+0
20.1492E-9,-180.0000E+0
20.5103E-9,-170.0000E+0
20.1343E-9,-160.0000E+0
20.5115E-9,-150.0000E+0
20.1455E-9,-140.0000E+0
20.5073E-9,-130.0000E+0
20.1188E-9,-120.0000E+0
20.5009E-9,-110.0000E+0
20.1181E-9,-100.0000E+0
20.5082E-9,-90.0000E+0
20.0772E-9,-80.0000E+0
20.4921E-9,-70.0000E+0
20.0937E-9,-60.0000E+0
20.4775E-9,-50.0000E+0
20.0930E-9,-40.0000E+0
20.5092E-9,-30.0000E+0
20.1113E-9,-20.0000E+0
20.4763E-9,-10.0000E+0
20.1260E-9,000.0000E+0
20.4413E-9,10.0000E+0
20.0785E-9,20.0000E+0
20.4775E-9,30.0000E+0
20.0796E-9,40.0000E+0
20.4718E-9,50.0000E+0
20.0913E-9,60.0000E+0
20.4585E-9,70.0000E+0
20.0695E-9,80.0000E+0
20.4352E-9,90.0000E+0
20.0752E-9,100.0000E+0
20.4409E-9,110.0000E+0
20.0726E-9,120.0000E+0
20.4618E-9,130.0000E+0
20.0540E-9,140.0000E+0
20.4558E-9,150.0000E+0
20.0579E-9,160.0000E+0
20.4584E-9,170.0000E+0
20.0584E-9,180.0000E+0
20.4345E-9,190.0000E+0
20.0729E-9,200.0000E+0
