Cp,Voltage
-878.0015E-12,-200.0000E+0
-851.1634E-12,-190.0000E+0
-857.2861E-12,-180.0000E+0
-865.4121E-12,-170.0000E+0
-875.3064E-12,-160.0000E+0
-867.1541E-12,-150.0000E+0
-857.7467E-12,-140.0000E+0
-868.6222E-12,-130.0000E+0
-853.7421E-12,-120.0000E+0
-869.2427E-12,-110.0000E+0
-842.7281E-12,-100.0000E+0
-860.0291E-12,-90.0000E+0
-856.9136E-12,-80.0000E+0
-857.2426E-12,-70.0000E+0
-843.1992E-12,-60.0000E+0
-863.6138E-12,-50.0000E+0
-843.5970E-12,-40.0000E+0
-864.6525E-12,-30.0000E+0
-879.8455E-12,-20.0000E+0
-851.4989E-12,-10.0000E+0
-856.0556E-12,000.0000E+0
-856.5392E-12,10.0000E+0
-865.2580E-12,20.0000E+0
-856.0423E-12,30.0000E+0
-861.3427E-12,40.0000E+0
-876.7099E-12,50.0000E+0
-867.0941E-12,60.0000E+0
-877.4449E-12,70.0000E+0
-859.5705E-12,80.0000E+0
-887.3623E-12,90.0000E+0
-864.0768E-12,100.0000E+0
-869.2065E-12,110.0000E+0
-872.6774E-12,120.0000E+0
-869.8096E-12,130.0000E+0
-883.3609E-12,140.0000E+0
-870.3618E-12,150.0000E+0
-868.0859E-12,160.0000E+0
-867.5986E-12,170.0000E+0
-866.4041E-12,180.0000E+0
-857.9003E-12,190.0000E+0
-863.0918E-12,200.0000E+0
