Cp,Voltage
12.8198E-9,-200.0000E+0
12.8247E-9,-190.0000E+0
12.8151E-9,-180.0000E+0
12.8265E-9,-170.0000E+0
12.8181E-9,-160.0000E+0
12.8172E-9,-150.0000E+0
12.8234E-9,-140.0000E+0
12.8185E-9,-130.0000E+0
12.8167E-9,-120.0000E+0
12.8164E-9,-110.0000E+0
12.8113E-9,-100.0000E+0
12.8130E-9,-90.0000E+0
12.8137E-9,-80.0000E+0
12.8117E-9,-70.0000E+0
12.8091E-9,-60.0000E+0
12.8094E-9,-50.0000E+0
12.8087E-9,-40.0000E+0
12.8156E-9,-30.0000E+0
12.8099E-9,-20.0000E+0
12.8188E-9,-10.0000E+0
12.8167E-9,000.0000E+0
12.8124E-9,10.0000E+0
12.8203E-9,20.0000E+0
12.8097E-9,30.0000E+0
12.8141E-9,40.0000E+0
12.8086E-9,50.0000E+0
12.8180E-9,60.0000E+0
12.8078E-9,70.0000E+0
12.8131E-9,80.0000E+0
12.8092E-9,90.0000E+0
12.8112E-9,100.0000E+0
12.8099E-9,110.0000E+0
12.8006E-9,120.0000E+0
12.8149E-9,130.0000E+0
12.8084E-9,140.0000E+0
12.8081E-9,150.0000E+0
12.8036E-9,160.0000E+0
12.8085E-9,170.0000E+0
12.8073E-9,180.0000E+0
12.8087E-9,190.0000E+0
12.8067E-9,200.0000E+0
