Cp,Voltage
17.4179E-9,-200.0000E+0
17.4088E-9,-190.0000E+0
17.4219E-9,-180.0000E+0
17.4091E-9,-170.0000E+0
17.4220E-9,-160.0000E+0
17.4111E-9,-150.0000E+0
17.4214E-9,-140.0000E+0
17.4070E-9,-130.0000E+0
17.4133E-9,-120.0000E+0
17.4265E-9,-110.0000E+0
17.4106E-9,-100.0000E+0
17.4144E-9,-90.0000E+0
17.4122E-9,-80.0000E+0
17.4204E-9,-70.0000E+0
17.4103E-9,-60.0000E+0
17.4112E-9,-50.0000E+0
17.4112E-9,-40.0000E+0
17.4232E-9,-30.0000E+0
17.4105E-9,-20.0000E+0
17.4177E-9,-10.0000E+0
17.4046E-9,000.0000E+0
17.4196E-9,10.0000E+0
17.4094E-9,20.0000E+0
17.4043E-9,30.0000E+0
17.4128E-9,40.0000E+0
17.3969E-9,50.0000E+0
17.3998E-9,60.0000E+0
17.4099E-9,70.0000E+0
17.3958E-9,80.0000E+0
17.4110E-9,90.0000E+0
17.4040E-9,100.0000E+0
17.3936E-9,110.0000E+0
17.4010E-9,120.0000E+0
17.3916E-9,130.0000E+0
17.3876E-9,140.0000E+0
17.4035E-9,150.0000E+0
17.3926E-9,160.0000E+0
17.3862E-9,170.0000E+0
17.3928E-9,180.0000E+0
17.3942E-9,190.0000E+0
17.3899E-9,200.0000E+0
